wyz,sr,zaw,pods,ludnosc
218,832,420,569,2039
1765,5715,3261,2837,13578
107,513,535,465,1620
272,1001,640,710,2623
3968,13014,8016,8437,33435
942,4383,4502,4435,14262
1273,5669,4184,4779,15905
817,3496,2471,2087,8871
358,1301,965,1076,3700
1199,3228,2226,1784,8437
221,966,766,808,2761
1747,6748,5961,4462,18918
269,1131,1207,871,3478
161,539,523,365,1588
1332,4447,1738,1991,9508
464,1694,1202,1176,4536
2137,5649,3469,2825,14080
301,1554,1634,1129,4618
967,3896,2096,2497,9456
286,1693,916,955,3850
235,1334,1242,1394,4205
760,3043,1621,1523,6947
1357,4317,2244,2452,10370
4088,13863,6151,7088,31190
858,3050,1589,1885,7382
811,3440,2765,2675,9691
546,2616,2357,1962,7481
1820,5584,4540,3508,15452
232,888,984,736,2840
517,2090,1218,1153,4978
462,1824,1085,1143,4514
150,722,476,498,1846
94,604,687,701,2086
409,2002,1220,1285,4916
293,1179,1057,847,3376
1938,6270,5390,4268,17866
373,1306,1240,647,3566
1922,6424,4092,3395,15833
652,2432,1963,1358,6405
2302,6319,3318,3028,14967
